time_management,environment_structuring,goal_setting,self_evaluation,learning_engagement
3.9,3.52,2.58,4.01,3.91
3.39,3.7,3.28,2.66,3.52
4.02,4.17,3.7,4.1,3.97
4.72,4.15,3.73,4.48,4.12
3.31,1.96,3.38,3.73,3.49
3.31,2.36,4.14,4.9,3.9
4.76,3.66,2.95,2.78,3.98
4.11,3.66,3.6,2.4,3.76
3.12,3.66,3.78,1.98,3.46
3.93,5.0,4.06,4.6,4.05
3.13,3.71,4.2,3.92,4.06
3.13,4.22,2.91,3.36,3.28
3.69,4.06,2.63,3.62,4.02
1.97,3.79,4.59,2.5,2.84
2.12,2.92,3.93,5.0,3.84
3.05,3.88,3.18,3.5,3.32
2.69,2.5,4.79,3.49,3.26
3.75,2.99,3.78,3.98,3.58
2.77,2.76,4.53,3.78,3.4
2.37,3.27,3.75,3.58,3.24
4.67,5.0,5.0,2.77,4.58
3.32,1.52,4.93,3.78,3.54
3.55,3.82,3.53,4.91,3.83
2.36,1.75,4.38,4.48,3.97
3.06,2.78,4.15,4.67,4.2
3.59,4.18,4.66,2.99,3.98
2.58,3.26,3.02,2.61,2.8
3.8,2.23,4.18,3.3,3.69
3.02,2.56,4.44,3.44,3.67
3.27,3.81,2.47,4.28,2.98
3.02,2.54,2.87,2.05,2.66
4.98,3.39,2.27,4.62,3.44
3.49,3.24,3.51,3.27,3.55
2.65,2.61,4.2,3.06,3.39
4.16,5.0,4.75,2.59,3.96
2.52,3.77,3.75,2.08,3.4
3.67,1.38,4.84,4.06,3.5
1.93,3.37,2.73,3.46,2.18
2.44,2.6,2.51,2.37,2.53
3.66,3.97,3.66,2.36,3.74
4.09,2.49,3.97,3.13,4.21
3.64,3.1,3.68,4.74,3.68
3.41,3.65,2.25,3.19,3.37
3.26,3.98,3.64,2.2,3.22
2.32,2.12,2.79,3.2,2.56
2.92,2.9,4.17,3.18,3.61
3.13,2.77,3.96,1.24,3.16
4.35,2.61,3.04,3.36,3.11
3.77,4.79,3.34,3.22,4.08
2.09,3.56,2.96,3.96,3.29
3.76,2.07,3.66,4.88,3.6
3.19,4.03,4.37,4.3,3.97
2.96,5.0,3.01,3.18,3.37
3.99,4.13,4.05,2.51,3.81
4.32,1.83,3.33,5.0,3.75
4.25,2.76,3.14,3.45,3.41
2.83,4.34,3.63,3.41,3.33
3.25,2.56,2.98,3.38,3.48
3.77,3.6,3.31,3.56,3.73
4.28,3.9,2.86,3.28,3.51
3.12,2.37,5.0,2.94,3.8
3.35,3.15,3.72,2.96,2.51
2.61,1.0,3.21,3.37,3.13
2.54,2.28,3.85,2.97,2.47
4.15,2.97,3.62,2.83,3.5
4.58,2.08,3.55,3.49,3.47
3.44,4.67,4.13,3.2,3.33
